iter	Accuracy	Logloss
75	0.7379107143	0.5331970894
76	0.7379464286	0.5330992893
77	0.7382678571	0.5329592415
78	0.73825	0.5328473919
79	0.7383214286	0.5328170889
80	0.738375	0.5327492902
81	0.7385714286	0.5326283032
82	0.7385357143	0.532547568
83	0.7386964286	0.5324569903
84	0.7387142857	0.5324232866
85	0.7387321429	0.5323871308
86	0.7386785714	0.5323071893
87	0.7387857143	0.5322554634
88	0.7387678571	0.5322177342
89	0.738875	0.5321097628
90	0.7388214286	0.5320589708
91	0.7389642857	0.5319952054
92	0.7389285714	0.5319115248
93	0.7388928571	0.5318688866
94	0.7388392857	0.5317948826
95	0.7390714286	0.531695536
96	0.7390178571	0.531573715
97	0.7391071429	0.5315177334
98	0.7393035714	0.5314393562
99	0.7393214286	0.5313756121
100	0.7393214286	0.5312558418
101	0.7394464286	0.5312067505
102	0.7393392857	0.5311552988
103	0.7395178571	0.5310800416
104	0.7396607143	0.5310185574
105	0.7396607143	0.5309671774
106	0.7396785714	0.5309159603
107	0.7396607143	0.5308717389
108	0.7397142857	0.5307543644
109	0.73975	0.5306654929
110	0.7397321429	0.53057992
111	0.7397321429	0.5304956657
112	0.7398392857	0.5304000868
113	0.7398928571	0.5303169906
114	0.7400535714	0.5302441264
115	0.7401785714	0.5301434326
116	0.740125	0.5300360931
117	0.740125	0.5299984943
118	0.7402142857	0.5299089689
119	0.7403571429	0.5298309496
120	0.7405892857	0.5297457713
121	0.7407857143	0.5296603319
122	0.7409642857	0.5295649426
123	0.7409107143	0.52947958
124	0.74075	0.5294128958
125	0.74075	0.529359577
126	0.7408571429	0.5292397619
127	0.7407678571	0.5291594658
128	0.741	0.5291245749
129	0.7410892857	0.5290379033
130	0.7410357143	0.5289349621
131	0.7410178571	0.5288352328
132	0.7411607143	0.5287244238
133	0.7412321429	0.5286541767
134	0.7410892857	0.528569865
135	0.7411607143	0.5285219265
136	0.7411607143	0.5285129667
137	0.7413035714	0.5284010596
138	0.7412321429	0.5283188229
139	0.7411071429	0.5282725241
140	0.7411607143	0.5282652412
141	0.7411785714	0.5282108281
142	0.7415178571	0.5281354657
143	0.7414464286	0.528073704
144	0.7415	0.5280181914
145	0.7415535714	0.5279649932
146	0.7416071429	0.5279121344
147	0.741625	0.5278857122
148	0.7415714286	0.5278544697
149	0.7416607143	0.5277812989
150	0.7416964286	0.5277012973
151	0.7417321429	0.5276641517
152	0.7417142857	0.5275633649
153	0.7418392857	0.5274358154
154	0.7419642857	0.5273314282
155	0.742	0.5273006772
156	0.742	0.5272896017
157	0.7420892857	0.5272179826
158	0.7420357143	0.527170595
159	0.7421428571	0.5270759105
160	0.7421428571	0.527059234
161	0.742125	0.5269814433
162	0.7421071429	0.5269240367
163	0.7420535714	0.5268415754
164	0.7420892857	0.5268288545
165	0.742	0.5267602341
166	0.742	0.5266796318
167	0.742	0.5266042747
168	0.7419642857	0.5265046196
169	0.7421964286	0.5264092243
170	0.7424285714	0.526326707
171	0.7424285714	0.5262438652
172	0.7425714286	0.5261760226
173	0.7424642857	0.5260914362
174	0.7426964286	0.525981315
175	0.7427142857	0.5259436935
176	0.7428392857	0.5258471052
177	0.7428392857	0.5258377022
178	0.7427678571	0.5258224753
179	0.7428035714	0.525743718
180	0.7427678571	0.5256739241
181	0.7428214286	0.5255911148
182	0.7428928571	0.5255697898
183	0.7429821429	0.5255018557
184	0.7430178571	0.5254951504
185	0.7430714286	0.5254191501
186	0.7430714286	0.5254151412
187	0.7432321429	0.525336821
188	0.7432142857	0.5252913738
189	0.7434464286	0.5251915571
190	0.7433928571	0.5251313378
191	0.7435357143	0.5250261834
192	0.7435535714	0.524937802
193	0.7435714286	0.5248682905
194	0.743625	0.5247998524
195	0.7436785714	0.5247578968
196	0.7436785714	0.5246662569
197	0.7437142857	0.5246360058
198	0.7436964286	0.5245745482
199	0.7438035714	0.5245289919
200	0.7438392857	0.5244948583
201	0.7438571429	0.5244383956
202	0.7438392857	0.5243631917
203	0.7438392857	0.5243402248
204	0.7437142857	0.5243015384
205	0.7435357143	0.5242686711
206	0.743625	0.5242246092
207	0.7437321429	0.5241542863
208	0.74375	0.5240762204
209	0.74375	0.5240032361
210	0.7436428571	0.5238982988
211	0.7436964286	0.5238135682
212	0.7441428571	0.5237274542
213	0.7442142857	0.5236538334
214	0.7441964286	0.5235625808
215	0.7440535714	0.5234901349
216	0.7441428571	0.5234153858
217	0.7441607143	0.5233800773
218	0.7441607143	0.5233544382
219	0.7440892857	0.5232890452
220	0.744125	0.5232310412
221	0.7441071429	0.5232064703
222	0.744125	0.5231741461
223	0.7441607143	0.5231068605
224	0.7441607143	0.5230168987
225	0.7441785714	0.522952932
226	0.74425	0.5228589987
227	0.7444642857	0.5227779801
228	0.7444285714	0.5227182767
229	0.7445357143	0.5226666325
230	0.7445357143	0.5226205711
231	0.7446428571	0.5225879433
232	0.7445357143	0.5224892592
233	0.7445535714	0.5224701549
234	0.7445714286	0.5224327667
235	0.7447142857	0.5223708711
236	0.7448035714	0.5222589803
237	0.744875	0.5221595179
238	0.7448571429	0.5221096228
239	0.7449285714	0.5220815277
240	0.745	0.5220086652
241	0.7452857143	0.5219145523
242	0.7450357143	0.5218250903
243	0.7451607143	0.5217676603
244	0.7451964286	0.5217054124
245	0.7452678571	0.521619721
246	0.7452678571	0.521596419
247	0.7453214286	0.5215144121
248	0.7454464286	0.5214209043
249	0.7450892857	0.5213219037
250	0.7451607143	0.52128217
251	0.7451607143	0.5212497866
252	0.7451607143	0.52124285
253	0.7452142857	0.5212259957
254	0.7452678571	0.5211826987
255	0.7453571429	0.5211230265
256	0.7453928571	0.5210679965
257	0.7453571429	0.5209977879
258	0.7453928571	0.520924032
259	0.7454464286	0.5208404828
260	0.7455178571	0.5207514876
261	0.7456785714	0.5206586673
262	0.745875	0.52062282
263	0.7459464286	0.5205941496
264	0.7459285714	0.5205439972
265	0.7459642857	0.5205206178
266	0.7458571429	0.5204395329
267	0.7458571429	0.5203786947
268	0.746125	0.5202843635
269	0.7461428571	0.5202251663
270	0.7460714286	0.5201518441
271	0.7459642857	0.5200674734
272	0.7460178571	0.520011496
273	0.746	0.5200053151
274	0.7461607143	0.5199434765
275	0.7461785714	0.5199053407
276	0.746125	0.5198708824
277	0.7461428571	0.5197928832
278	0.7461071429	0.5197433865
279	0.7461428571	0.5197038445
280	0.7460892857	0.5196505674
281	0.7461964286	0.5195941764
282	0.7462142857	0.5195356982
283	0.7461785714	0.5194526765
284	0.7461964286	0.5194250612
285	0.7461964286	0.5194022667
286	0.7462142857	0.5193396717
287	0.7462321429	0.5192822089
288	0.7462857143	0.5192250199
289	0.7462678571	0.5191271097
290	0.7462678571	0.5190506909
291	0.7462857143	0.5190053087
292	0.7462678571	0.518961058
293	0.7463392857	0.5189060114
294	0.7464464286	0.5188318335
295	0.7464464286	0.5187788732
296	0.746375	0.5186980768
297	0.7464642857	0.5186633654
298	0.7464107143	0.518583411
299	0.7464285714	0.5185412346
300	0.7464642857	0.5184059636
301	0.7464642857	0.5183723874
302	0.7464642857	0.5183301699
303	0.7465178571	0.5182732045
304	0.7466428571	0.518223598
305	0.7465892857	0.5181266388
306	0.7466428571	0.5181067239
307	0.7466964286	0.5180427991
308	0.7466785714	0.5179222197
309	0.7467678571	0.5178839006
310	0.7467857143	0.5178554223
311	0.7468214286	0.5177696933
312	0.7468571429	0.5177612104
313	0.7469107143	0.5177102618
314	0.7470357143	0.5176438392
315	0.7470892857	0.5175551223
316	0.747125	0.517489865
317	0.7473035714	0.5173956123
318	0.7472142857	0.5173317416
319	0.74725	0.517291244
320	0.7471607143	0.5172714041
321	0.7472142857	0.5171707784
322	0.7472142857	0.517141289
323	0.7471428571	0.5170507552
324	0.7471428571	0.5170255298
325	0.7472857143	0.5169640375
326	0.7472857143	0.5169322132
327	0.7473035714	0.5168700619
328	0.7473392857	0.516816491
329	0.7474107143	0.5167050625
330	0.7474821429	0.5166576443
331	0.7475357143	0.5166225136
332	0.7477857143	0.5165718798
333	0.747875	0.5164816332
334	0.7480178571	0.5164274695
335	0.7479642857	0.516366526
336	0.7479285714	0.5163408399
337	0.7480357143	0.5162931564
338	0.7479642857	0.5162592871
339	0.7480178571	0.5161710239
340	0.748125	0.5160987762
341	0.748125	0.5160576182
342	0.7482321429	0.5159724081
343	0.748125	0.5158753395
344	0.7481785714	0.5158331666
345	0.7483035714	0.5157673691
346	0.7482857143	0.5157464868
347	0.7483392857	0.5157351608
348	0.7483035714	0.5156705462
349	0.7485178571	0.5156148567
350	0.74875	0.5155303159
351	0.7488035714	0.5154531983
352	0.7488392857	0.5154012759
353	0.7488035714	0.515359802
354	0.7489642857	0.5153436928
355	0.7489642857	0.5153046553
356	0.7489464286	0.5152182301
357	0.749125	0.5151756314
358	0.7491428571	0.5151665896
359	0.7491428571	0.5151215968
360	0.7490535714	0.5150665394
361	0.7490714286	0.5150173823
362	0.7490892857	0.5149552656
363	0.7491071429	0.514886148
364	0.749125	0.5148090189
365	0.74925	0.5147544853
366	0.7493571429	0.5146922879
367	0.7493928571	0.5146524788
368	0.7493571429	0.5146075154
369	0.7493928571	0.5145825426
370	0.7494464286	0.5145414494
371	0.7495357143	0.5144786866
372	0.7494821429	0.5144384379
373	0.7496071429	0.5143823989
374	0.7496071429	0.5143403098
375	0.749625	0.5143127351
376	0.7496607143	0.5142344466
377	0.7496964286	0.5141784336
378	0.7498392857	0.5141550864
379	0.7497678571	0.5140877488
380	0.7498392857	0.5140660362
381	0.749875	0.5140064006
382	0.7499285714	0.513947076
383	0.7500714286	0.5138618149
384	0.7501428571	0.5138060242
385	0.7500892857	0.5137603727
386	0.7500892857	0.5137196234
387	0.7501964286	0.5136861423
388	0.7503928571	0.5136220831
389	0.7503928571	0.513575244
390	0.7504285714	0.513543126
391	0.7504821429	0.5134994163
392	0.7504821429	0.5134562815
393	0.7505	0.51342927
394	0.7505535714	0.5133819485
395	0.7504642857	0.5132963224
396	0.750625	0.5132368468
397	0.7506428571	0.5131819701
398	0.7505892857	0.5131507963
399	0.7506428571	0.5131114628
400	0.7506607143	0.5130662776
401	0.7505535714	0.5130085872
402	0.7505178571	0.5129436449
403	0.7505	0.5128965562
404	0.7505	0.5128174552
405	0.7505535714	0.5127982422
406	0.7505714286	0.5127218801
407	0.7505892857	0.5126834066
408	0.7506785714	0.5126474113
409	0.7506607143	0.5126046514
410	0.7506964286	0.5125753392
411	0.7507857143	0.5125429335
412	0.7508035714	0.5125246318
413	0.75075	0.5124649771
414	0.7508035714	0.5124450746
415	0.75075	0.5123955043
416	0.7507678571	0.5123370136
417	0.7508392857	0.5122641346
418	0.750875	0.5122347431
419	0.7508928571	0.5121804349
420	0.7509464286	0.5121351723
421	0.7509107143	0.5120811398
422	0.7510535714	0.5120489309
423	0.7510535714	0.5119841296
424	0.7511607143	0.5119089033
425	0.7511785714	0.5118668382
426	0.7512857143	0.511790959
427	0.7513571429	0.5117253497
428	0.7513214286	0.5116781514
429	0.7513035714	0.5116126906
430	0.7512142857	0.511558697
431	0.75125	0.5115123957
432	0.75125	0.5114630186
433	0.751375	0.5114152077
434	0.7513571429	0.5113901331
435	0.7513214286	0.5113578073
436	0.7513392857	0.5113140828
437	0.7514107143	0.5112478251
438	0.7513928571	0.5112358813
439	0.751375	0.5111687588
440	0.7512857143	0.5111070281
441	0.7512142857	0.5110688698
442	0.75125	0.5110391101
443	0.7511785714	0.5109959026
444	0.7512142857	0.510926875
445	0.7512142857	0.5109131229
446	0.7512857143	0.5108550542
447	0.7513571429	0.5108016524
448	0.751375	0.510776202
449	0.751375	0.5107543337
450	0.7513035714	0.5106574334
451	0.7513214286	0.5106476686
452	0.7513214286	0.5105812828
453	0.7514107143	0.5105414415
454	0.7514107143	0.5104874109
455	0.7514285714	0.5104432793
456	0.7514642857	0.510347842
457	0.7515357143	0.5103203449
458	0.7515892857	0.5103127589
459	0.751625	0.5102676972
460	0.7518035714	0.5102145355
461	0.7519107143	0.5101373579
462	0.751875	0.51008539
463	0.751875	0.5100561528
464	0.751875	0.5100417846
465	0.7519642857	0.5100113618
466	0.7520178571	0.5099380326
467	0.7520357143	0.509868898
468	0.7520535714	0.5098206355
469	0.7521428571	0.5097665444
470	0.7521607143	0.509728035
471	0.7523392857	0.5096350146
472	0.7523214286	0.5095803653
473	0.752375	0.5095652607
474	0.7523035714	0.5095051694
475	0.7524107143	0.5094320238
476	0.752375	0.5093804774
477	0.7524285714	0.5093511625
478	0.7523571429	0.5093148079
479	0.7524821429	0.5092737695
480	0.7525357143	0.5092586912
481	0.7525357143	0.5092481161
482	0.7525714286	0.5092224271
483	0.7525535714	0.509186975
484	0.7526071429	0.5091377637
485	0.752625	0.5090857959
486	0.7528214286	0.5090343181
487	0.7528214286	0.5089762786
488	0.7528214286	0.5089171936
489	0.7528928571	0.5088796392
490	0.7529642857	0.5088359749
491	0.7529821429	0.5088203088
492	0.7530714286	0.5087780533
493	0.7529821429	0.5087420182
494	0.7529464286	0.5086978812
495	0.7529642857	0.5086457765
496	0.7528571429	0.5086001361
497	0.752875	0.5085691448
498	0.753	0.5084809624
499	0.7530892857	0.5084158036
